image,pokemon_name,type1,type2
abra__0000.png,abra,psychic,
abra__0001.png,abra,psychic,
abra__0002.png,abra,psychic,
abra__0003.png,abra,psychic,
abra__0004.png,abra,psychic,
abra__0005.png,abra,psychic,
abra__0006.png,abra,psychic,
abra__0007.png,abra,psychic,
abra__0008.png,abra,psychic,
abra__0009.png,abra,psychic,
abra__0010.png,abra,psychic,
abra__0011.png,abra,psychic,
abra__0012.png,abra,psychic,
abra__0013.png,abra,psychic,
absol__0000.png,absol,dark,
absol__0001.png,absol,dark,
absol__0002.png,absol,dark,
absol__0003.png,absol,dark,
absol__0004.png,absol,dark,
absol__0005.png,absol,dark,
absol__0006.png,absol,dark,
absol__0007.png,absol,dark,
absol__0008.png,absol,dark,
absol__0009.png,absol,dark,
absol__0010.png,absol,dark,
absol__0011.png,absol,dark,
absol__0012.png,absol,dark,
absol__0013.png,absol,dark,
absol__0014.png,absol,dark,
absol__0015.png,absol,dark,
absol__0016.png,absol,dark,
absol__0017.png,absol,dark,
absol__0018.png,absol,dark,
absol__0019.png,absol,dark,
absol__0020.png,absol,dark,
absol__0021.png,absol,dark,
aegislash__0000.png,aegislash,steel,ghost
aegislash__0001.png,aegislash,steel,ghost
aegislash__0002.png,aegislash,steel,ghost
aegislash__0003.png,aegislash,steel,ghost
aegislash__0004.png,aegislash,steel,ghost
aegislash__0005.png,aegislash,steel,ghost
aegislash__0006.png,aegislash,steel,ghost
aegislash__0007.png,aegislash,steel,ghost
aegislash__0008.png,aegislash,steel,ghost
aegislash__0009.png,aegislash,steel,ghost
aegislash__0010.png,aegislash,steel,ghost
aegislash__0011.png,aegislash,steel,ghost
aegislash__0012.png,aegislash,steel,ghost
aegislash__0013.png,aegislash,steel,ghost
aegislash__0014.png,aegislash,steel,ghost
aegislash__0015.png,aegislash,steel,ghost
aegislash__0016.png,aegislash,steel,ghost
aegislash__0017.png,aegislash,steel,ghost
aegislash__0018.png,aegislash,steel,ghost
aegislash__0019.png,aegislash,steel,ghost
aegislash__0020.png,aegislash,steel,ghost
aegislash__0021.png,aegislash,steel,ghost
aegislash__0022.png,aegislash,steel,ghost
aegislash__0023.png,aegislash,steel,ghost
aegislash__0024.png,aegislash,steel,ghost
aegislash__0025.png,aegislash,steel,ghost
aegislash__0026.png,aegislash,steel,ghost
aegislash__0027.png,aegislash,steel,ghost
aerodactyl__0000.png,aerodactyl,rock,flying
aerodactyl__0001.png,aerodactyl,rock,flying
aerodactyl__0002.png,aerodactyl,rock,flying
aerodactyl__0003.png,aerodactyl,rock,flying
aerodactyl__0004.png,aerodactyl,rock,flying
aerodactyl__0005.png,aerodactyl,rock,flying
aerodactyl__0006.png,aerodactyl,rock,flying
aerodactyl__0007.png,aerodactyl,rock,flying
aerodactyl__0008.png,aerodactyl,rock,flying
